,text_1,text_2,label,L2_score
0,take measures in order to,take additional measures to,4.0,14.48609733581543
1,was seeking to,will strive to,3.0,17.370439529418945
2,canada aims to,canada works to,2.333,14.985574722290039
3,refugees and,refugee population,2.667,25.314369201660156
4,measures and,"instruments , and",3.0,19.087221145629883
5,provide both,", is provided",3.667,22.492233276367188
6,policy goals,political goals,4.333,19.216856002807617
7,of non-governmental organisations,for non-governmental organizations,4.0,13.539595603942871
8,of the service,of services are,3.333,16.220325469970703
9,resource availability .,of the resources available .,5.0,19.37296485900879
10,all nations that,all the countries that,5.0,10.241010665893555
11,now continue,in continuing,4.0,21.298194885253906
12,the issue of,the questions of,3.667,18.159440994262695
13,not already,there were no,1.6669999999999998,24.8941593170166
14,two types,two different types,4.667,13.50918960571289
15,you doing up there,you doin ' up here,5.0,13.731596946716309
16,", religions",religious and,3.333,25.19405746459961
17,matters that are,"subject matter ,",2.333,22.855083465576172
18,continues to play an,there continues to be a,3.333,18.242429733276367
19,mitigate the consequences,reduce the impact,5.0,17.46140480041504
20,", in certain instances",", in some instances",4.667,9.118974685668945
21,of alternative measures,of other measures,4.667,14.926322937011719
22,be improved,be consolidated,3.333,16.116682052612305
23,p.m. to 4:00 p.m.,a.m. to 4 p.m.,3.0,11.7014741897583
24,did n't he,do n't know what it is,2.667,18.06120491027832
25,you are about,you 're not gonna,2.667,18.06676483154297
26,police investigations,an investigation,2.667,23.507658004760742
27,and the human rights,", and rights",3.333,19.02093505859375
28,is colonel,'s colonel,4.333,16.422029495239258
29,", including in particular the",", particularly those of",2.667,15.37780475616455
30,been permitted to,is allowed to,4.333,12.226200103759766
31,is considered that,is believed that,3.333,13.965486526489258
32,of human trafficking .,the trafficking of human beings .,3.333,16.079044342041016
33,of the commission for the,committees on,1.3330000000000002,22.92567253112793
34,it is committed,the government is committed,2.333,13.094120979309082
35,- when did you,"well , did you",3.333,14.874073028564453
36,we have to go .,we should get going .,3.0,13.29201602935791
37,and the mark,and the trade mark,4.667,13.942352294921875
38,", detailed",issue in detail,4.333,21.027751922607422
39,was an emergency,was urgent,2.667,18.467458724975586
40,those wishing to,persons who wish to,4.333,16.51264762878418
41,others and,other jurisdictions and,3.333,17.3852481842041
42,convention provides,convention shall be,4.0,19.92803955078125
43,both employers,the employer shall,3.0,22.2641544342041
44,compromise is,compromise proposed,3.333,16.070087432861328
45,is anxious to,is intended to,3.667,17.291820526123047
46,considerably better,much better,3.667,16.946279525756836
47,"additionally , it","in addition , it has",3.667,12.442936897277832
48,proposals presented in,the proposals contained in,3.333,16.108394622802734
49,works well,are working,1.6669999999999998,23.914043426513672
50,report addresses,report is,3.667,17.034860610961914
51,"of treaties ,",nations treaty,2.333,23.247478485107422
52,it is concerned that,it notes with concern that,4.0,14.63320255279541
53,"fight against racism ,","fighting racism ,",3.0,13.588043212890625
54,provides an overview of the,gives an overview of,3.667,11.539027214050293
55,data are available,data base,2.667,22.439661026000977
56,note with appreciation that,note with satisfaction that,4.0,10.74191951751709
57,of the following draft decision :,the following draft resolutions :,4.333,14.22455883026123
58,"yes , she is","yeah , i 'm sure",3.667,16.300174713134766
59,ability to,they are able to,2.667,20.544734954833984
60,we are confident that,we strongly believe that,4.667,14.589335441589355
61,provincial governments,in the provinces,2.667,23.696870803833008
62,- everything is,- that 's all,2.333,15.889634132385254
63,"- yeah , i do","- yes , he did",4.333,13.765803337097168
64,be regarded as a,be considered to be an,3.667,13.498687744140625
65,withdraw,considered withdrawn,4.0,26.865747451782227
66,of the highest importance,of the greatest importance,4.333,9.87380313873291
67,invited committee members,invited the committee,3.333,14.153250694274902
68,very sorry,"sorry , guys",4.667,20.32459831237793
69,is implemented in,be applied in,2.0,16.294740676879883
70,the contents,the content,5.0,13.471684455871582
71,arguments presented,-rrb- arguments,3.0,22.838651657104492
72,has all along been,have long been,4.667,18.261184692382812
73,the policy objectives,the aims and objectives,2.667,15.04871654510498
74,responding to questions,answer the questions,4.333,19.5116024017334
75,fair and adequate,fair and appropriate,3.667,8.605074882507324
76,is just not,'s just not,4.333,12.21117115020752
77,is to ensure that,guaranteeing that,3.0,19.236188888549805
78,further consideration of the item,discussion of the topic,3.667,16.461381912231445
79,preventing the use,prevention of the use,4.333,16.073335647583008
80,men were,two men were,3.333,14.959968566894531
81,you are all,you 're all,4.333,8.322778701782227
82,of qualifications and,of skills and,3.667,13.053343772888184
83,is an important stage,is an important step,2.333,10.704848289489746
84,prepared by,report prepared by,4.667,16.71383285522461
85,such issues should be,these issues should be,4.0,9.248385429382324
86,regarding the application of the,on the operation of the,3.667,14.348828315734863
87,to discuss,to be considered in,3.0,20.17018699645996
88,3/12/2005 ad -lrb- updated,", 20/11/2005 ad -lrb- updated",2.333,8.188982963562012
89,do n't know what happened,do n't know anything,3.667,11.846673011779785
90,of the society,community was,2.667,23.804380416870117
91,accordance with the provisions of article,provided for in article,2.0,19.965946197509766
92,include the following :,will be the following :,2.0,13.666609764099121
93,on implementing the,concerning the implementation of the,4.0,15.927956581115723
94,recommendations of the task,recommendations of the panel of,3.667,14.289993286132812
95,of ammunition,"munitions ,",1.6669999999999998,23.147384643554688
96,outlined that,"indicated that ,",3.667,19.006019592285156
97,neither is,", nor was",3.0,20.192466735839844
98,", the board established",", the council established",3.0,11.701556205749512
99,presented by,pointed out by,3.0,21.732999801635742
100,was noticeably,have been distinctly,4.333,20.10350227355957
101,let 's get to it,"right , let 's get going",3.0,13.023186683654785
102,distributed to,to submit to,2.0,23.942251205444336
103,have put in place,has put,3.333,15.995108604431152
104,including references to,have referred to,4.667,20.0915470123291
105,"committee , having",the commission on the,3.667,19.239290237426758
106,probe into,investigation was,2.333,22.09037971496582
107,go forward with,go ahead with,5.0,13.819725036621094
108,now i feel,i 've been feeling,3.667,17.880022048950195
109,is therefore important,is why it is important,3.667,16.3114070892334
110,or programs,"programmes , as well",2.0,19.703243255615234
111,take responsibility for,be responsible for,5.0,17.77272605895996
112,i 'm an idiot,i 'm such an idiot,4.667,8.965688705444336
113,", including where",", particularly where",3.667,12.663190841674805
114,- you did n't,- i do n't believe this,2.0,15.221678733825684
115,its grave concern at :,its serious concern at :,4.667,8.467111587524414
116,", having regard to the",in respecting the,3.0,17.473644256591797
117,conflict resolution,conflicts have,3.0,23.47133445739746
118,be utilized for,to be used for,3.667,12.23599624633789
119,enter into force,brought into force,4.667,20.92716407775879
120,followed closely,has been closely following,4.667,22.740495681762695
121,greater participation of,greater involvement of,4.333,12.246859550476074
122,continue its consideration of this matter,continue consideration of this issue,4.333,9.060458183288574
123,all members of,the states members of,4.0,16.40079116821289
124,you 're talking,you talk,3.333,16.33790397644043
125,", particularly the","and , in particular , the",3.667,12.876206398010254
126,seems to be an,now seems to,2.667,16.6505069732666
127,endangered wildlife in,endangered species in,2.333,12.52979564666748
128,", activities and","operations , and",3.0,15.234260559082031
129,/ or recommendations,audit recommendations,2.667,25.195215225219727
130,purposes are,"goals and objectives ,",4.0,24.298803329467773
131,you worry,you 're worried about,4.333,17.04366683959961
132,report refers to the,report mentions the,5.0,15.450235366821289
133,relating to the situation in,regarding the situation in,4.667,9.212143898010254
134,provincial and territorial,the provinces and territories,3.667,23.64565086364746
135,provisional agreement,interim agreement,3.333,16.522655487060547
136,why do i say that,why would they be doing that,3.0,15.046682357788086
137,center of gaza strip,central gaza strip,4.667,17.63150978088379
138,on the question of the,on the issue of,3.0,12.433405876159668
139,are reproduced in annex,appear in annex,3.0,14.231313705444336
140,"- yes , she did","yes , that 's it",3.333,13.101480484008789
141,advice from the,to the views of the,3.0,19.08568000793457
142,have thus been,have therefore been,3.333,9.19999885559082
143,referred to in paragraph,referred to in section,4.333,9.53602409362793
144,are accepted,is to be adopted,2.0,19.350570678710938
145,"of data ,",data are available,2.667,20.239999771118164
146,certain circumstances -lrb-,some cases -lrb-,4.667,22.47487449645996
147,are fundamental,is a key factor,3.0,21.17081069946289
148,- how 're you doing,- how you doing,4.0,10.296757698059082
149,a bit tired,really tired,3.667,19.48805809020996
150,various regional groups,regional groups,3.667,13.209321975708008
151,relationships are,relations officer,1.6669999999999998,26.161598205566406
152,given time,given point in time,3.0,17.830219268798828
153,attach importance to,attached special importance to,3.667,15.934852600097656
154,police officers and,", the police and",3.333,17.005464553833008
155,used to think that,was just thinking that,3.333,17.02212142944336
156,assumed responsibility,they are responsible for,3.667,23.752351760864258
157,departments of education,ministry of education,4.333,18.204687118530273
158,of the tribunal for the,of the courts to,3.0,14.636293411254883
159,it supported the,and endorsed the,2.0,15.714245796203613
160,"dominic , i am so sorry",- i 'm sorry,4.0,13.9703950881958
161,aims to,is making an effort to,2.333,20.439945220947266
162,'s very important for,was very important for,4.667,11.59713077545166
163,everything looks,all this is,3.333,23.78460693359375
164,apply them,to be implemented,3.667,25.602903366088867
165,of small arms .,of use of nuclear weapons .,2.0,19.941635131835938
166,non-governmental organizations,the non-governmental organisations,4.333,14.965412139892578
167,are implemented,be put into effect,3.333,20.37076187133789
168,is illustrated in,is listed in,4.0,17.006248474121094
169,and the costs of,and cost of,5.0,13.650266647338867
170,of people with disabilities,of persons with disabilities,5.0,8.426949501037598
171,are at present,is currently the,3.0,18.552499771118164
172,been actively involved,actively engaged,5.0,17.868148803710938
173,participate effectively in,be actively involved in,3.667,19.43258285522461
174,'s hard to believe,is hard to believe,4.0,9.36597728729248
175,but were,", but rather that",3.333,15.2758207321167
176,all necessary steps to,all measures necessary,4.667,17.395387649536133
177,the baltic states,the baltic sea,2.667,17.609439849853516
178,the goals set out in,the objectives set forth in,3.0,12.781856536865234
179,each state party to,states parties to,3.667,18.152774810791016
180,documentation and,documents and to,4.0,15.51250171661377
181,will leave,'m leaving,3.667,18.42047119140625
182,plenary meetings and,plenary sessions and,3.667,9.928982734680176
183,", but rather that",", but it is",3.333,12.350936889648438
184,cases even,case then,3.667,21.892578125
185,"report , dated",report of the work of the,3.333,19.49815559387207
186,agreement reached,to reaching,1.3330000000000002,28.011110305786133
187,development of a,of setting up a,3.667,19.000314712524414
188,persons with reduced mobility,passengers with reduced mobility,5.0,14.563847541809082
189,the knowledge and,the skills and,2.667,14.565849304199219
190,measured in,measured during,4.0,12.929152488708496
191,", the sources said",the officials said,4.667,13.706134796142578
192,had originally been,had initially been,4.667,7.6038384437561035
193,and we are,", and we stand",3.667,12.496258735656738
194,most of its,the majority of its,2.667,14.313589096069336
195,where are you taking him ?,wh-where are you taking him ?,4.667,4.908291339874268
196,concepts and,to the principles and,2.667,18.827001571655273
197,"yes , that 's true .","yes , it does .",2.333,11.96480655670166
198,of facilitating and,facilitation and,4.333,17.006145477294922
199,to implement its,to carry out the,4.333,16.536523818969727
200,rates at,rate is,3.0,17.611936569213867
201,strives to,to pursue efforts to,3.333,19.2651424407959
202,are currently under,is under way,4.667,17.595182418823242
203,'s what it is,'s exactly right,3.0,20.39702033996582
204,and non-governmental organizations ;,and ngos ;,4.333,19.946325302124023
205,established within,created in,3.333,21.954723358154297
206,moved forward,move ahead,3.667,20.421445846557617
207,is thanks to,thank you to,2.667,20.464563369750977
208,these programmes,the two programmes,4.667,16.427072525024414
209,their special needs,their particular needs,4.333,15.05129623413086
210,the euro area,the euro zone,3.667,9.818414688110352
211,a view to improving,to help improve,3.333,20.733068466186523
212,'s losing,is losing,3.333,14.825448036193848
213,legal regulations,of regulations,3.667,23.329181671142578
214,and the outcome,and the results,4.667,10.330658912658691
215,will be issued in,will be included in,4.667,15.079190254211426
216,generating electricity,produce electricity,3.667,18.177967071533203
217,required by the,", in accordance with the",2.667,18.470138549804688
218,miles away,kilometres away,3.0,14.401041030883789
219,n't leave you,n't let you,3.667,16.813213348388672
220,a rise in,has been an increase in,3.667,16.22054672241211
221,"oh , uh , yeah","yes , the hell there is",2.333,21.29115867614746
222,that 's exactly who i am,that 's correct,2.667,17.01926040649414
223,partnership established,"partnership """,4.0,19.582584381103516
224,are very close .,'re so close .,2.333,11.385558128356934
225,came back,was coming,2.0,19.6299991607666
226,even dressed,dressed,4.0,22.909393310546875
227,were different,to differ,2.667,21.65329933166504
228,products and services in,product and service,4.333,17.65092658996582
229,relevant legislation,laws and regulations,4.0,23.705408096313477
230,speculate that,is suggested that,3.667,20.074491500854492
231,reports presented to the,reports before the,4.0,16.128585815429688
232,best contribute to,contribute to,3.667,17.29580307006836
233,for the purposes,only for the purpose,4.333,14.09798526763916
234,"right , right , yeah","yes , it is",3.667,20.906923294067383
235,i 'm not scared,- i 'm not afraid,5.0,9.393108367919922
236,approximately 200 000,about 200 000,2.0,8.45535659790039
237,achievement of the goals of the,achieve the goals of the,4.333,10.36780834197998
238,'s coming this way .,'m coming in .,3.667,16.568557739257812
239,appropriate ways to,ways and means of,3.667,20.459476470947266
240,also encourages the,also calls upon the,2.333,16.289304733276367
241,is an issue that,is a subject that,2.0,12.412867546081543
242,funds will,funding is,2.667,19.262083053588867
243,resources to,"available resources , to",3.667,15.445341110229492
244,listed in annex,contained in annex,4.0,17.389917373657227
245,"thoughts , no","- no , dad",2.333,20.34123420715332
246,- so what happened ?,"-well , what happened ?",4.667,9.701377868652344
247,educational system in,education system in,4.667,9.205061912536621
248,once again reiterate,once again reaffirms,3.0,9.83747386932373
249,", as are the",as well as on the,2.667,16.289148330688477
250,routes used,routes of,3.667,17.800954818725586
251,was pleased to note that,notes with satisfaction that,4.333,17.753093719482422
252,", arrived here",arrived in the,4.0,15.847902297973633
253,- these are,"- well , this is",1.3330000000000002,14.792741775512695
254,is over .,'s all over .,3.0,13.727144241333008
255,of supporting and,'s support of,3.667,18.27383041381836
256,ask the secretary-general,requested the secretary- general,3.0,21.61639404296875
257,parties to the treaty,the states parties to the treaty,4.0,10.109302520751953
258,beginning of the first,start of the first,4.667,8.85639762878418
259,are benefiting from,take advantage of,4.0,22.909889221191406
260,"by its president ,",by the chairman,3.333,13.790935516357422
261,be necessary for the,was essential for,4.0,14.41311264038086
262,that situation,such a situation,3.333,16.43915557861328
263,attention is paid,pay attention to the,4.667,21.86215591430664
264,add to the,", contributing to the",3.0,17.29388999938965
265,you 're pretty,you look pretty,5.0,16.591405868530273
266,board of directors and the,board and the,3.0,13.767477035522461
267,resources and,", natural resources and",4.0,16.16931915283203
268,and the suggestions,and propositions,4.333,15.053550720214844
269,am in favour of,expressed support for,3.0,22.46653175354004
270,"no , we wo n't","no , he does n't",2.333,10.590520858764648
271,grown increasingly,becoming ever more,3.333,27.59490203857422
272,sbi decided to,sbi agreed to,4.0,11.842219352722168
273,are attending,participate in the,3.0,20.289466857910156
274,which was indispensable,which was vital,3.333,8.145671844482422
275,of not less than 3,of not less than three,4.0,6.863099575042725
276,of russia 's,of russia,4.667,12.208380699157715
277,would help to,is instrumental in,3.0,22.41275978088379
278,this is not a toy,it 's not a toy,5.0,10.072835922241211
279,scared to death,really scared,3.667,21.525035858154297
280,have an opportunity,were given the opportunity,3.667,16.530155181884766
281,shall be defined by,are established by,3.667,20.534439086914062
282,require for,needed to be,4.0,21.17043685913086
283,is ensuring that,is to guarantee that,4.333,13.397176742553711
284,there is still,there may be,3.333,14.895522117614746
285,risen significantly,increased substantially,3.667,18.824323654174805
286,is of vital importance that,is necessary that,3.0,17.657028198242188
287,of participating,of engaging in,3.667,17.258188247680664
288,it has become a,has now become a,4.333,10.856033325195312
289,has reviewed and considered,considered by,4.667,20.27962875366211
290,is primarily due to,is largely due to,4.667,7.913748741149902
291,", with special emphasis",", including , in particular",2.667,17.237924575805664
292,targeted,well targeted,4.333,24.320377349853516
293,intensive debate,intense debate,3.333,16.13370132446289
294,indicated that they,indicates that he,3.667,10.358185768127441
295,countries members of the,countries in the,3.333,14.088067054748535
296,it was a party to,is a state party to,3.333,13.920947074890137
297,"now , however ,","there is , however ,",2.333,15.648992538452148
298,very crucial,very critical,5.0,10.124449729919434
299,took place during,had taken place in,4.333,11.86585807800293
300,almost 25 per cent,nearly 25 per cent,5.0,4.042043209075928
301,is crucial that,is vitally important for,2.667,14.071982383728027
302,council members held,the members of the council welcomed,3.333,19.148075103759766
303,showed that it,demonstrated that it,4.0,11.88664436340332
304,"- yeah , that 's it","- yes , he did",3.333,13.271404266357422
305,equal treatment of men and,equality between men and,3.333,17.123472213745117
306,'m wondering,wonder,4.0,26.433324813842773
307,", i wish to begin",", i should like to begin",4.667,10.605260848999023
308,has been actively engaged in,has been active in,3.0,11.527464866638184
309,participating in,are invited to participate in the,2.333,17.396982192993164
310,is vitally important,is imperative,3.333,19.342662811279297
311,correspondents and,reporter and,2.333,19.662235260009766
312,reporting guidelines,""" guidelines",4.333,23.026729583740234
313,really were,'re really,1.6669999999999998,14.92407512664795
314,are fairly,are relatively more,2.0,14.172699928283691
315,of basic rights,"for fundamental rights ,",4.667,17.651273727416992
316,", the panel found",", the committee found",3.667,8.310063362121582
317,of contacts between new,of the relationship between the,3.667,14.29032039642334
318,is crucial to,would be important to,4.0,12.177457809448242
319,significantly increased,much more significant,3.0,21.644338607788086
320,and the next day,"the following day ,",4.667,14.09456729888916
321,what were your intentions,"why , what 's the matter",2.667,16.719905853271484
322,of the opinion that,are of the view that,5.0,14.171843528747559
323,their member states,their members,2.333,14.21116828918457
324,an increase of almost,an increase of nearly,3.667,3.6437840461730957
325,is a major component,are an important part,3.333,16.321298599243164
326,are certainly,have actually,4.333,21.497055053710938
327,", the council is",", the council extended",3.0,9.73408031463623
328,", this is a",this represents an,4.333,17.86705780029297
329,", resulting from the",derived from the,3.667,17.29602813720703
330,"so , what is it ?",what 's all this ?,4.333,14.447025299072266
331,levels in,level -lrb-,3.333,25.07145118713379
332,presented in,was reported in,4.333,20.890798568725586
333,council was,"security council ,",3.333,21.41957664489746
334,opportunity to present,the possibility of submitting,3.333,20.404882431030273
335,is absolutely,is all very,2.667,19.06111717224121
336,becoming members,become part,3.667,21.115991592407227
337,", it is required to",there is a need to,4.0,15.519014358520508
338,reminded the public,reminds members of the public that,3.333,15.484249114990234
339,and i am happy to,", and i am glad",3.333,11.09528636932373
340,offence was committed,"criminal offence ,",1.3330000000000002,19.85987663269043
341,to include in,be contained in,3.0,18.821752548217773
342,counsel recalls that,""" the security council recalls that",3.667,18.43266487121582
343,the results of such,results of this,3.333,12.520069122314453
344,- is it,"- hey , it",3.333,16.13585090637207
345,reaffirms that the,reaffirming that the,3.667,8.973031997680664
346,n't eaten anything,n't eaten,3.667,14.526542663574219
347,why did n't you say something,why do you want to,3.0,14.988289833068848
348,first six months,first six months of this year,4.0,14.81352424621582
349,in the circumstances,under the circumstances,4.667,15.647896766662598
350,parliament needs to,this house must,2.667,24.975772857666016
351,appreciates the efforts,appreciated the efforts,4.667,8.193453788757324
352,the protection provided for in this,the protection provided under this,5.0,10.92926025390625
353,program objectives,the program 's objectives,3.667,15.643104553222656
354,"yeah , he does","of course , yeah",2.667,17.641618728637695
355,their decision,their own decisions,3.667,16.429092407226562
356,my fear is that,my concern is that,4.0,10.283374786376953
357,achieving sustainable,sustainable management,4.0,26.41642189025879
358,who maintain,who are in,4.0,16.929445266723633
359,"- yeah , this is","- yeah , he 's",3.333,8.994453430175781
360,a huge opportunity,a great opportunity,4.0,11.667016983032227
361,and detailed,detailed description,2.667,22.742252349853516
362,and that is exactly,and precisely,3.0,15.315299034118652
363,results of an,the outcome of the,4.0,17.026309967041016
364,-roger who is this,- who 's that,3.333,15.039559364318848
365,continued for,continues with,3.667,15.148115158081055
366,of aboriginal languages,of indigenous languages,4.0,11.017374038696289
367,sufficient enough,insufficient,1.6669999999999998,22.466228485107422
368,is the establishment of,is to set up,3.667,19.568330764770508
369,in the development and implementation of,in the elaboration and implementation of,2.333,10.207037925720215
370,'s very important that,was essential for,4.333,18.172563552856445
371,"no , that 's not true",it is not true,4.333,13.156763076782227
372,center was,centre was,4.0,10.567122459411621
373,may remain,continued to be,3.667,20.37844467163086
374,customs clearance,customs,2.667,20.746313095092773
375,it is crucial that,it is also essential,3.0,11.263322830200195
376,i am scared,i 'm so scared,4.667,10.944816589355469
377,assistance payments,assistance to,3.0,20.451475143432617
378,but i am,"well , i 've",3.333,17.134422302246094
379,get involved,had been involved,3.667,19.84356689453125
380,considered and adopted,discussed and adopted,4.0,13.970734596252441
381,the differences among,the differences between,3.667,8.875053405761719
382,and regulations of,and rules of the,3.333,13.394312858581543
383,the arab states,the arabs,4.0,15.88692569732666
384,reaffirm the,", reiterating",3.667,21.853822708129883
385,on the development of a,the process of drafting a,3.0,17.31256675720215
386,achieving a higher degree of,achieve greater,3.333,20.470565795898438
387,to avoid,thus avoiding,4.333,19.427419662475586
388,i work,i really am,3.0,20.556930541992188
389,has not yet been,have not already been,5.0,12.30917739868164
390,examination of the question of the,consideration of the issue of the,3.333,15.103228569030762
391,- what 's that mean,what 's that supposed to mean,4.667,11.110631942749023
392,list -rrb-,-rrb- listed,3.333,20.40943145751953
393,pertinent terms and conditions of,requirements for the,3.333,22.55849838256836
394,cost of transportation,cost of transporting,4.667,10.604266166687012
395,this is unbelievable,- you 're unbelievable,4.667,17.400388717651367
396,'re really,are really,3.333,10.023941993713379
397,rule 160,article 160,3.0,24.647090911865234
398,it emphasises,the state party emphasizes,3.0,21.836097717285156
399,sake of the,interests of both the,3.667,20.517234802246094
400,are relevant to the,shall apply to the,3.333,16.939411163330078
401,and submit them,and present them,3.333,16.77818489074707
402,goes well beyond,go far beyond,3.667,16.07464599609375
403,is worth emphasising,is necessary to underline,2.667,19.3355712890625
404,all necessary measures for,all appropriate measures to ensure that,4.333,13.649450302124023
405,order to improve,", with a view to improving",3.0,18.506481170654297
406,is absolutely,is definitely,4.333,14.52942943572998
407,management regimes,regulatory regimes,4.0,21.24021339416504
408,"yes , i am","oh , yes , you are",2.667,15.271552085876465
409,strengthening cooperation among,strengthened cooperation between,3.667,12.277335166931152
410,nuclear weapons and international,nuclear weapons and the,2.0,11.283945083618164
411,"acknowledges ,",was acknowledged,4.667,18.828872680664062
412,drafting committee,drafting of a,3.0,22.019855499267578
413,adopted a resolution,adoption of resolutions,4.333,18.803409576416016
414,was underlined that,was stressed that,2.667,11.544756889343262
415,ministers of,prime minister in,3.667,24.852346420288086
416,are bad,be harmful,2.667,21.71970558166504
417,medical doctors,by doctors,4.333,22.877851486206055
418,months back,months away,2.667,16.786725997924805
419,am going to tell you,'m going to tell you,5.0,5.0627312660217285
420,are operated by,are carried out by,4.333,16.205280303955078
421,been communicated to,been forwarded to,3.667,12.206954956054688
422,are in favour,lend my support,3.667,25.457386016845703
423,"activities , especially","activities , particularly",4.333,4.0671210289001465
424,was still in,are in,3.667,17.5379581451416
425,findings of the,outcomes of all the,1.6669999999999998,18.537744522094727
426,its operations,current operations,2.333,18.902084350585938
427,is not available to,are not subject to,3.333,17.327634811401367
428,even more comprehensive,more comprehensive,4.667,14.885594367980957
429,the proper functioning of,the normal functioning of,3.333,11.024914741516113
430,human rights violation,breaches of human rights,3.0,20.79298973083496
431,"first and foremost ,",the first is that the,3.0,20.161712646484375
432,guiding principles,principles,3.333,22.347763061523438
433,the special rapporteur informed the government,the special rapporteur advised the government,4.667,7.4091925621032715
434,decided to defer the,decides to defer,4.333,11.80518627166748
435,council is,rights council,3.667,25.90892219543457
436,on establishing,to be established,4.333,21.61486053466797
437,also concluded,group concluded,4.667,19.341901779174805
438,of progress made in implementing,of progress in the implementation,4.0,11.507116317749023
439,both the government of,the government is,4.0,14.836370468139648
440,article 78 of,section 78 of,3.667,17.257184982299805
441,was able to,'ve managed to,3.667,17.457977294921875
442,medical services,medical care is,4.667,18.96058464050293
443,adoption by,adopted an,4.0,24.3621768951416
444,and capacity,and the ability,2.667,17.50499725341797
445,ensure the protection of,purpose of protecting,4.0,22.294879913330078
446,"member state , and",member states as well,3.667,15.650568962097168
447,assisted to,is helping to,3.333,23.030452728271484
448,in my answer,in my reply,4.667,9.961804389953613
449,the ship,board ships,3.333,23.261655807495117
450,included in,mainstreamed in,4.0,19.297039031982422
451,preparing for,of the preparations for,4.667,21.023975372314453
452,"no , no , this is","- nope ,",4.0,17.195730209350586
453,is a need for,was vital for,2.333,16.78732681274414
454,is to be,must therefore be,3.667,18.08260726928711
455,and services sectors,and service sectors,5.0,9.809196472167969
456,assets were,asset of,4.0,25.046035766601562
457,"return of refugees ,",refugee return,4.667,22.857559204101562
458,", government departments",departments is,2.667,19.193836212158203
459,- you 're lying,you are a liar,4.667,15.065179824829102
460,real democracy,true democracy,3.667,16.903902053833008
461,am aware,is well known,3.0,24.95283317565918
462,is naturally,are certainly,3.333,19.387414932250977
463,toppled iraqi president saddam hussein,iraqi president saddam hussein,3.0,15.11838150024414
464,passenger traffic,passengers,3.333,26.568265914916992
465,during the elections,at the elections,2.667,15.838408470153809
466,by resolution,-lrb- resolutions,3.0,24.10811996459961
467,financing of this,financing of such,4.333,10.561132431030273
468,has agreed to,has been committed to,4.333,17.022205352783203
469,transportation to,transport to,4.0,9.470800399780273
470,", is committed to",remains committed to,3.0,12.880119323730469
471,said that it,was suggested that it,4.333,12.172952651977539
472,is important for,is critical to,2.0,12.308114051818848
473,major general ghazi,general ghazi,4.333,16.43701171875
474,the counterfeiting,counterfeits,5.0,26.39008331298828
475,policy recommendations,in recommendations,3.0,22.71038818359375
476,committee considers that,is of the opinion that,4.0,21.56272315979004
477,is certainly,is undoubtedly,4.667,10.779678344726562
478,- cost,costs are,3.667,21.292095184326172
479,it is very important that,it was essential for,3.333,12.621206283569336
480,you heard,you 've heard,4.333,12.741868019104004
481,and to enhance their,and strengthening their,4.667,14.905323028564453
482,"collection of data ,",gather data,4.667,22.385066986083984
483,reaffirming that,", reiterating",3.0,18.966567993164062
484,what the hell 's this,what is this,3.667,16.65757942199707
485,ceased to be,to suspend the,3.333,21.227807998657227
486,any requirement,information requirements,3.0,27.080049514770508
487,", it 's clear",", it is clear",4.667,7.2239155769348145
488,and allocation of resources,and resource allocation,4.667,14.873151779174805
489,and this is,and it 's gonna be,2.667,16.473691940307617
490,"are you ok ,","- you all right ,",4.667,17.361778259277344
491,", relating to",", in relation to",3.667,12.425786018371582
492,", achieving","achievement ,",4.0,21.587261199951172
493,both countries in,", the two countries",4.0,15.96056842803955
494,our standard of living,the living standards,4.333,19.661542892456055
495,supplied with,providing them with,3.667,18.790157318115234
496,it is essential for,", it is necessary that",4.333,11.32201862335205
497,achieved in the area of,made in the field of,4.0,16.055240631103516
498,of formulating,process of formulating,3.0,16.344589233398438
499,the troop-contributing countries,the countries,3.0,13.45457935333252
500,at a press conference held,at a press conference,4.333,8.21744441986084
